id;date;journal_id/id;name;period_id/id;line_id/account_id/id;line_id/date;line_id/name;line_id/credit;line_id/debit;line_id/journal_id/id;line_id/period_id/id
;;;;;__export__.account_account_134;2015-9-1;Forfait annuel votations/élections;3200;;__export__.account_journal_5;__export__.account_period_10
689;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;Chef de centre Calvin 2014-15;;3200;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Chef de centre Calvin 2014-15;3200;;__export__.account_journal_5;__export__.account_period_10
690;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;2013-14 Forfait annuel votations/élections;;3200;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;2013-14 Forfait annuel votations/élections;3200;;__export__.account_journal_5;__export__.account_period_10
691;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_197;2015-9-1;2014-2015 Forfait annuel votations;;3200;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;2014-2015 Forfait annuel votations;3200;;__export__.account_journal_5;__export__.account_period_10
709;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;Dépôt CTI Création de groupes d'apprenants;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépôt CTI Création de groupes d'apprenants;1600;;__export__.account_journal_5;__export__.account_period_10
710;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;Formation courte SIG N°43776;;1280;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Formation courte SIG N°43776;1280;;__export__.account_journal_5;__export__.account_period_10
711;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;OCAS2;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;OCAS2;4000;;__export__.account_journal_5;__export__.account_period_10
712;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;MAS HES-SO DSIS & DAS GDIS HETS;;1120;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;MAS HES-SO DSIS & DAS GDIS HETS;1120;;__export__.account_journal_5;__export__.account_period_10
724;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;Itescia;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Itescia;1600;;__export__.account_journal_5;__export__.account_period_10
725;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;Prospection de mandats;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Prospection de mandats;1600;;__export__.account_journal_5;__export__.account_period_10
727;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_198;2015-9-1;MAS HES-SO DSIS & DAS GDIS HETS Evaluation;;720;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;MAS HES-SO DSIS & DAS GDIS HETS Evaluation;720;;__export__.account_journal_5;__export__.account_period_10
736;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Dépot (C) - 44543 H2020, RAWFIE;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépot (C) - 44543 H2020, RAWFIE;4800;;__export__.account_journal_5;__export__.account_period_10
737;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Dépot (C) – 47926, OFSPO;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépot (C) – 47926, OFSPO;4800;;__export__.account_journal_5;__export__.account_period_10
738;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Dépot (C) – 47927, H2020, DIVINE;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépot (C) – 47927, H2020, DIVINE;4800;;__export__.account_journal_5;__export__.account_period_10
739;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Dépot (C) – 47928, H2020, YPSILON;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépot (C) – 47928, H2020, YPSILON;4800;;__export__.account_journal_5;__export__.account_period_10
740;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Procter-Gamble;;400;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Procter-Gamble;400;;__export__.account_journal_5;__export__.account_period_10
742;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Dépot (C) – 47929, H2020, ODRACO;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépot (C) – 47929, H2020, ODRACO;4800;;__export__.account_journal_5;__export__.account_period_10
743;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Dépot (C) - 47930, FNS, Mobile crowsourcing;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Dépot (C) - 47930, FNS, Mobile crowsourcing;4800;;__export__.account_journal_5;__export__.account_period_10
744;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Comité – conférences;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Comité – conférences;1600;;__export__.account_journal_5;__export__.account_period_10
745;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;Publication;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Publication;1600;;__export__.account_journal_5;__export__.account_period_10
746;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;41139 – FNS, SCOPES;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;41139 – FNS, SCOPES;4800;;__export__.account_journal_5;__export__.account_period_10
747;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_199;2015-9-1;39023 – FNS, Data Driven;;4800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;39023 – FNS, Data Driven;4800;;__export__.account_journal_5;__export__.account_period_10
770;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_200;2015-9-1;40998 - Projets LIVES + 28830-Leading House;;0;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;40998 - Projets LIVES + 28830-Leading House;0;;__export__.account_journal_5;__export__.account_period_10
771;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_200;2015-9-1;44065-Mandat Ville GE+canton GE/culture;;0;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;44065-Mandat Ville GE+canton GE/culture;0;;__export__.account_journal_5;__export__.account_period_10
778;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_202;2015-9-1;Projet RSCO avec Thomas Gautier;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Projet RSCO avec Thomas Gautier;4000;;__export__.account_journal_5;__export__.account_period_10
790;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_202;2015-9-1;Reserve - Interreg, développement du projet;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Reserve - Interreg, développement du projet;4000;;__export__.account_journal_5;__export__.account_period_10
791;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_202;2015-9-1;39038 - OFFT, Infonet Economy;;4000;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;39038 - OFFT, Infonet Economy;4000;;__export__.account_journal_5;__export__.account_period_10
792;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_202;2015-9-1;Comité - conférence;;800;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Comité - conférence;800;;__export__.account_journal_5;__export__.account_period_10
793;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_202;2015-9-1;Reserve - RCSO avec Thomas Gautier;;1600;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;Reserve - RCSO avec Thomas Gautier;1600;;__export__.account_journal_5;__export__.account_period_10
794;2015-9-1;__export__.account_journal_5;1;__export__.account_period_10;__export__.account_account_202;2015-9-1;cours Veille Chancellerie;;480;__export__.account_journal_5;__export__.account_period_10
;;;;;__export__.account_account_134;2015-9-1;cours Veille Chancellerie;480;;__export__.account_journal_5;__export__.account_period_10
